14115
+Vehicle assignments
car0;z15
car1;z5
car2;z4
car3;z1
car4;z9
car5;z8
car6;z18
car7;z14
car8;z1
car9;z11
car10;z6
car11;z19
car12;z6
car13;z16
+Assigned requests
req0;car3
req1;car9
req2;car6
req4;car13
req6;car3
req7;car13
req8;car11
req9;car0
req12;car7
req13;car11
req18;car8
req19;car1
req20;car10
req22;car10
req24;car9
req25;car6
req26;car6
req27;car9
req28;car8
req30;car1
req31;car5
req33;car7
req35;car12
req36;car7
req37;car4
req40;car8
req42;car4
req44;car3
req45;car11
req46;car3
req50;car12
req52;car5
req53;car11
req54;car1
req56;car10
req57;car13
req59;car10
req60;car3
req64;car12
req66;car12
req68;car2
req70;car4
req71;car3
req72;car4
req73;car6
req74;car5
req75;car12
req76;car1
req78;car11
req79;car10
req80;car5
req81;car7
req82;car10
req84;car0
req85;car5
req87;car9
req88;car10
req89;car1
req90;car7
req91;car4
req92;car13
req94;car12
req95;car8
req96;car2
req98;car0
+Unassigned requests
req3
req5
req10
req11
req14
req15
req16
req17
req21
req23
req29
req32
req34
req38
req39
req41
req43
req47
req48
req49
req51
req55
req58
req61
req62
req63
req65
req67
req69
req77
req83
req86
req93
req97
req99
